SID,Category,Product Name,Temp Stock,Stock,Size,Units,Price,8/2,8/2 $,8/3,8/3 $,8/4,8/4 $,8/5,8/5 $,8/6,8/6 $,Min Level,re-stock Quantity,re-stock Price,Supplier,Barcode/QR2-Data,Barcode/QR2-Type,Value,Tags,Notes,Stock July,Thu 7/24,Fri 7/25,Sat 7/26,Sun 7/27,Mon 7/28,Tue 7/29,Wed 7/30,Thu 7/31,Photo1
SPBR-INV-0177,Alcoholic Beverages,Ginebra s. Miguel gin,,8,350,ml,₱ 85,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800130100023,org.gs1.EAN-13,₱ 680,,,8,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_rbNLxPNpoMIEJt9Jbyn7HVBGg2Ro8uhoLmfCk8LEHNBoqk3BYO59ig==
SPBR-INV-0071,Supplies,Glow toothpick,,9,,,₱ 30,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4809010431424,org.gs1.EAN-13,₱ 270,,,7,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_QVHUgQckbRxY3cT0g56Be3bBxNO2puaFH6KUWJtCjrRtSNpIje3aow==
SPBR-INV-0115,Snacks,Goya pretzel twist milk chocolate,,8,21,Grams,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4806517042801,org.gs1.EAN-13,₱ 160,,,8,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_fDSjpgRn7JWsbMFZExDd4B_bgMkYxZMx3NfJWomBWWngSre86k111w==
SPBR-INV-0104,Hot Beverages,Great taste premium classic,,34,2,Grams,₱ 5,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016012358,org.gs1.EAN-13,₱ 170,,,24,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_wtyEiUAWxxEVyU3lcGf1IbWish5sxDL5wT9tZzcfoJdTy_v_F8Zftw==
SPBR-INV-0093,Hot Beverages,Great taste white,,9,30,Grams,₱ 15,,₱ 0,,₱ 0,,₱ 0,,₱ 0,1,₱ 15,,,,,4800016021039,org.gs1.EAN-13,₱ 135,,,13,,,2,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_6ohzBe7u58FtLJFXytlBPTwS-JfHxOQRXei-78JPbRO4kJRNk8URLw==
SPBR-INV-0034,Cold Beverages,Great value rice,,9,1,Kilogram,₱ 85,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,1111111111116,org.gs1.EAN-13,₱ 765,,,10,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_73VcmSfjSIvKmh28vJx68-n267Nt-UMxM8S93Dyifi10_Y7PMU5nhw==
SPBR-INV-0167,Alcoholic Beverages,GSM blue mojito,,18,700,ml,₱ 160,3,₱ 480,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800130728128,org.gs1.EAN-13,"₱ 2,880",,,13,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_sjEhFhSwaSu431RIbhqF9NN2rYtqQU-rFfRWFs16k8k4b2RbnNLPkw==
SPBR-INV-0109,Snacks,Hansel milk sandwich,,10,31,Grams,₱ 12,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800092553233,org.gs1.EAN-13,₱ 120,,,18,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_-7PWwGTU8rvNu3WBLZhLIcTCltmJX4bbeofgLNquknXO3V8N1g3k8Q==
SPBR-INV-0070,Toiletries,Harley's Tawas powder,,2,50,Grams,₱ 30,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4806513103353,org.gs1.EAN-13,₱ 60,,,2,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_bVy1a8H8_kKP7bVYCezqYNGWhUZENnY0ipEptzZYSPY0QNO5e9_rfQ==
SPBR-INV-0079,Toiletries,Head & shoulders anti-dandruff shampoo,,32,12,ml,₱ 12,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4902430333597,org.gs1.EAN-13,₱ 384,,,34,,,1,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_H6x6rbjR_gTT75bgS2n_jKCVoVmGcgH2Pd2tMcVvBauU91A86t9sFA==
SPBR-INV-0019,Food Packs,Holiday beef loaf,,1,250,Grams,₱ 50,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800066121154,org.gs1.EAN-13,₱ 50,,,1,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_96l3myl6DfnHbKj2GIV-wsbykVDOGXLGZ-nyx7T385Y8GDOk2OiKVw==
SPBR-INV-0220,Supplies,Ice tube,15,9,,,₱ 50,10,₱ 500,8,₱ 400,,₱ 0,,₱ 0,1,₱ 50,,,,,0,org.gs1.EAN-13,₱ 450,,UPDATE: Barcode needs to be scanned and updated,21,3,,12,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_3mUpRI4Wt91MnTiZl0KAWOWNPu3N6UMH6BGytM5TiOVNH6kJjlkz_Q==
SPBR-INV-0182,Alcoholic Beverages,Jack Daniels,,2,700,ml,"₱ 1,550",,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,82184090473,org.gs1.EAN-13,"₱ 3,100",,,2,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_OLsOB8W--FwpPB_K-jegqgIdHRQmLpZ3VWQLKLIinOHknpKm_LkVAA==
SPBR-INV-0120,Snacks,Jack N Jill chicharon ni mang juan sukang Paombong,,1,26,Grams,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016110535,org.gs1.EAN-13,₱ 20,,,1,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_3dmKgC1qcpXKYfNlwtKQiv0B8MDGwiPrlr2aphxNpeuKblbwIAC01A==
SPBR-INV-0135,Snacks,Jack N Jill Chippy Barbecue Flavored Corn Chip,,4,108,Grams,₱ 50,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016643095,org.gs1.EAN-13,₱ 200,,,4,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_SqxkBqP2HNKXhH_380kDJF6mH_ofDTw5sNvLrKpvQaXm54bQdm37Ag==
SPBR-INV-0144,Snacks,Jack N Jill chippy barbeque,,3,35,Grams,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016642029,org.gs1.EAN-13,₱ 60,,,3,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_AxUQE91R02mhMeNCRJODEQU2_Hk96oHRaBFsR4w21XailvvjtjJoaw==
SPBR-INV-0147,Snacks,Jack N Jill chippy Cheese,,3,25,Grams,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016641008,org.gs1.EAN-13,₱ 60,,,5,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_3jKP9VwtyjUGuUL6ciQkk2LC_b69C6w5DboK9XRDdWccLtSmByxxsQ==
SPBR-INV-0139,Snacks,Jack N Jill Chiz Curls Cheese Flavored Corn Curls,4,4,55,Grams,₱ 35,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016105098,org.gs1.EAN-13,₱ 140,,,4,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_vMT022QAdOv1Wy5j5Ly5beTEIFzZ4SmJyJbBOalEwpMfC6v1eYR1Kg==
SPBR-INV-0213,Snacks,Jack N Jill dynamite,,109,,,₱ 2,,₱ 0,1,₱ 2,,₱ 0,,₱ 0,,₱ 0,,,,,4800016307041,org.gs1.EAN-13,₱ 218,,,114,,,2,,2,,,,https://lnk.sortly.co/v2/downloads/photo/v2_YgpsuppoxeQh2j7uLyCwAbt0dsFENVDlqhfh2rZnzqgBDU-lX3wldg==
SPBR-INV-0145,Snacks,Jack N Jill hippy Chili & Cheese Flavored Corn Chips,,2,110,Grams,₱ 50,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016641503,org.gs1.EAN-13,₱ 100,,,3,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Vweb972QdPu7rjuWXh3HkwClaHwJeZ8evGA241VfD2gNVGQ9UM-l-A==
SPBR-INV-0119,Snacks,Jack N Jill kropek ni mang juan spicy fried pusit,,1,90,Grams,₱ 60,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016677342,org.gs1.EAN-13,₱ 60,,,2,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_1HHGuIjO2ETbV99U8ITr9iql3C9Jqi2a2ovN3iFlX6mmimw3Wst6MQ==
SPBR-INV-0148,Snacks,Jack N Jill magic chips,6,3,28,Grams,₱ 15,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016082962,org.gs1.EAN-13,₱ 45,,,6,1,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_0P8Ao6HRXsVwQixDW0uxIOGyCv84WT9pjesysAMV71l1ECD0aYi8kQ==
SPBR-INV-0114,Snacks,Jack N Jill magic junior,,4,16,Grams,₱ 8,,₱ 0,1,₱ 8,,₱ 0,,₱ 0,,₱ 0,,,,,4800016083457,org.gs1.EAN-13,₱ 32,,,4,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_8Nr2symmYQf4s020xobwRioi_2j8RlJhsQ9pccGoO-ld8t4Ay2c4hg==
SPBR-INV-0118,Snacks,Jack N Jill Mang Juan Chicharon -Sukat Sili,,1,90,Grams,₱ 60,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016110528,org.gs1.EAN-13,₱ 60,,,1,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_DWGYYbTp2LSv5p5itNU0geVtHdhCSZCAfThoCydcnV60Xy9pE10R9A==
SPBR-INV-0117,Snacks,Jack N Jill mang Juan klasik chicharon,,2,90,Grams,₱ 60,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016115424,org.gs1.EAN-13,₱ 120,,,2,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_DHm9vtfhZhaOvcoa5mKnpCO7R1HMup2wgqoJy830GZ5spGQwqaK_lw==
SPBR-INV-0116,Snacks,Jack N Jill Mang Juan Sukang Paombong,,1,90,Grams,₱ 60,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016110511,org.gs1.EAN-13,₱ 60,,,2,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_m-NxpeSgtHMHK_cLu6I6qLz0hP1PgTdDHTPpYm23-oCxN1-ZmcHzzA==
SPBR-INV-0124,Snacks,Jack N Jill nova BBQ,,7,38,Grams,₱ 30,1,₱ 30,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016604225,org.gs1.EAN-13,₱ 210,,,8,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_DJ3u36O4NQ2u4kp7uj6h7ziG2eMXYh9bzRYVC5AiyS_saf-FY1gVoA==
SPBR-INV-0129,Snacks,Jack N Jill piatos cheese,,5,45,Grams,₱ 30,1,₱ 30,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016644801,org.gs1.EAN-13,₱ 150,,,6,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_9Hnxl13C2wvKv6jeBC8wp-nIeqLxF4Rz39djgCZnnPXy7WuAX_WYew==
SPBR-INV-0127,Snacks,Jack N Jill Piatos Cheese Flavored Potato Crisps,,3,85,Grams,₱ 50,,₱ 0,2,₱ 100,,₱ 0,,₱ 0,,₱ 0,,,,,4800016644504,org.gs1.EAN-13,₱ 150,,,5,,,1,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_jC4cYMms4WKoRwXaw_Ieuuuk5xotxWmVjx5xYiRc1y9twGDM850sbg==
SPBR-INV-0128,Snacks,Jack N Jill Piatos sour cream & onion,,4,85,Grams,₱ 50,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016671500,org.gs1.EAN-13,₱ 200,,,4,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Wu4AO5z6giZikW1pxL_6RyNK2_D_Nkzmgbruq2hOfWf4SdWwi-zEUw==
SPBR-INV-0130,Snacks,Jack N Jill piatos spicy cheese,,4,45,Grams,₱ 30,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016666414,org.gs1.EAN-13,₱ 120,,"this had a duplicate entry with 3 items in stock, so i combined and made this one a total of 7 items",7,,,1,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_lI2op6lsPD4rsGVbe6_7MP3tGNbPQ_o_M_hUMMD-DucGof3uI1Rxsw==
SPBR-INV-0121,Snacks,Jack N Jill Roller coaster,,10,24,Grams,₱ 20,,₱ 0,,₱ 0,,₱ 0,1,₱ 20,,₱ 0,,,,,4800016661006,org.gs1.EAN-13,₱ 200,,,15,,,2,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_3WgQgJspACEphbSAPBhnPSPn3FV3LAyi5u0bCLNqAciwxIoNKw2lDw==
SPBR-INV-0122,Snacks,Jack N Jill Roller Coaster Cheddar Cheese Potato Rings,,4,85,Grams,₱ 40,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800016661099,org.gs1.EAN-13,₱ 160,,,4,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Y2AD6QGzj_wwkroR1t33PU8NSWjOLMRwQNne9NgcEG3USVQ7IDGR2w==
SPBR-INV-0212,Snacks,Jack N Jill X.O. Candy (Coffee),,114,1,Pack,₱ 2,1,₱ 2,9,₱ 18,,₱ 0,,₱ 0,3,₱ 6,,,,,4800016475016,org.gs1.EAN-13,₱ 228,,,127,,,6,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_FCryyvHBfL8d1V487-tglmK2YQ0D-H6VCaBYUSwv5jEB2lR6M7wGDw==
SPBR-INV-0180,Alcoholic Beverages,Jamaica lime mixer,,12,350,ml,₱ 85,1,₱ 85,3,₱ 255,,₱ 0,,₱ 0,,₱ 0,,,,,4800220520359,org.gs1.EAN-13,"₱ 1,020",,,11,,,1,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_gn-WH1eAJZegBazuU2IhMG9REQXoF7m5GjsLtkI3bb96ErtvOMvqKw==
SPBR-INV-0181,Alcoholic Beverages,Johnnie Walker BLACK Label,,1,1000,ml,"₱ 1,700",,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,5000267024233,org.gs1.EAN-13,"₱ 1,700",,,1,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_nUQDGb3vj8lE6xnRcgSATanZ58ae7TfdrN6HUweMmOVaZ_6HYaEYTA==
SPBR-INV-0062,Toiletries,Johnson's baby shampoo,,2,100,ml,₱ 110,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,9556006014547,org.gs1.EAN-13,₱ 220,,,2,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_FW9ygELQczC8XFhwHpKhaz71bxYzWOOLTgjRaWUsgjN4ZS7Us1nDPA==
SPBR-INV-0038,Supplies,Joy dishwashing liquid,,9,40,ml,₱ 15,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4902430389563,org.gs1.EAN-13,₱ 135,,,9,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_dDGM2cXU3QRW9gpNn4fwx9Ig_hDlLt7PbJ9kieU91XD_8PHhoLNE9g==
SPBR-INV-0069,Toiletries,Juicy Cologne sweet Delight,,1,50,ml,₱ 40,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4806507831897,org.gs1.EAN-13,₱ 40,,,1,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_J1zbdbQqpkR7lqoVs4nag8U-fJWSC--eSV9tUjP09Nf9sg4-plnz0A==
SPBR-INV-0074,Toiletries,Keratin plus Brazilian hair treatment,,7,20,Grams,₱ 12,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4806515161504,org.gs1.EAN-13,₱ 84,,,7,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_2Z2KNZQuROZWamLI0_D1vkMWfCg9fTZrCszA-GLGUW315yf7IPHFkA==
SPBR-INV-0073,Toiletries,Keratin plus gold,,15,20,Grams,₱ 12,1,₱ 12,4,₱ 48,,₱ 0,,₱ 0,,₱ 0,,,,,4806515161511,org.gs1.EAN-13,₱ 180,,,5,,,2,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Eq7PNq87_GQ9iCtfA9PnUo0l1ffK5RL-a1Fd0J8aZqXpL3_gJx2PIw==
SPBR-INV-0219,Supplies,Knife big,,3,,,₱ 150,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,0,org.gs1.EAN-13,₱ 450,,UPDATE: Barcode needs to be scanned and updated,3,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_LVf6yzXQyugi0V1fgLxI6peZC6Qqcqk9PHdGQ7r_QAUPDb5h7v_ziA==
SPBR-INV-0218,Supplies,Knife small,,3,,,₱ 50,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,0,org.gs1.EAN-13,₱ 150,,UPDATE: Barcode needs to be scanned and updated,3,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_F6hlnG8IdGVciWP4gUqcFykjh2fYwkZuPp0RfDDZh2u0dmW1gn-Z-A==
SPBR-INV-0026,Kitchen & Condiments,Knorr Liquid Seasoning Original,,5,130,ml,₱ 85,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4808680230764,org.gs1.EAN-13,₱ 425,,,5,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_4W1eJKJbu-vllI9hLRnz36V7nLOYdwCgWHHPJJ48wMg9wQnTkc8lNQ==
SPBR-INV-0222,Hot Beverages,Kopiko Black,,20,30,Grams,₱ 15,,₱ 0,,₱ 0,2,₱ 30,,₱ 0,,₱ 0,,,,,0,EAN,₱ 300,,,,,,,,,,,,
SPBR-INV-0088,Hot Beverages,Kopiko blanca,5,21,30,Grams,₱ 15,,₱ 0,,₱ 0,,₱ 0,,₱ 0,2,₱ 30,,,,,8996001414309,org.gs1.EAN-13,₱ 315,,,27,,,3,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_5k5WX8kFlknDU6nJgIYr20gJDVVtbvhgS5Wp7gC5S0Gz4U6a4IUBLg==
SPBR-INV-0086,Hot Beverages,Kopiko brown coffee,5,21,27.5,Grams,₱ 15,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,8996001410547,org.gs1.EAN-13,₱ 315,,,5,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_I3r2lvHojFOxoHZUHXhAvBD__FH78KKsHsFmHUO1LzF2Pu1XhCFkvQ==
SPBR-INV-0031,Kitchen & Condiments,Laurel leaves,,2,20,Grams,₱ 50,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4806533680001,org.gs1.EAN-13,₱ 100,,,2,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_v43NlQHtgrgFsOy7B0NE60O83SU35vpTF5HrX-2QUFaaejRTkXDL7g==
SPBR-INV-0125,Snacks,Leslie's clover chips barbecue,,0,55,Grams,₱ 50,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800216110168,org.gs1.EAN-13,₱ 0,,,3,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_l3PWjtn0sCWiYhXCtlxvFIk30CLw_oDS_Hybj5AeS_29WqhbNdaKrg==
SPBR-INV-0126,Snacks,Leslie's clover chips cheesier,4,3,55,Grams,₱ 50,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800216110069,org.gs1.EAN-13,₱ 150,,,4,1,,1,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2__v7HYdsX8b8WPSm3rV-vMCgFPTSecWi5GjsEOmpvV6hPPEuXZHW4Zw==
SPBR-INV-0192,Alcoholic Beverages,Lightro San mig light,,10,1000,ml,₱ 150,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4801032741130,org.gs1.EAN-13,"₱ 1,500",,,9,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_6hYrGt0dkgGu1Tv3asl3MpWv6RRHjuk_NWxK-aNnyPmg71I3SUa6UQ==
SPBR-INV-0017,Food Packs,Lucky 7 carne norte,,5,150,Grams,₱ 50,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,748485801728,org.gs1.UPC-A,₱ 250,,,5,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_fRbNJhFg_hNssH9Whxq02xr6iDyiofWQz9wKztFa70g3PA1Z5S5Nlw==
SPBR-INV-0011,Food Packs,Lucky Me batchoy Big,,10,70,Grams,₱ 65,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4807770272110,org.gs1.EAN-13,₱ 650,,,10,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Hgliqt6TEiAc86TGT1skbRnsSAtSxtfWnDHaF91EuqJsp8RRN6s-jg==
SPBR-INV-0006,Food Packs,Lucky Me Batchoy small,,9,40,Grams,₱ 35,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4807770271168,org.gs1.EAN-13,₱ 315,,,9,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2__j2U_4AFDx-uEMQUA1Qejt50DVGlK9Y7LCuMwKxIATbe7mZOVZAAlA==
SPBR-INV-0012,Food Packs,Lucky Me bulalo Big,,3,70,Grams,₱ 65,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4807770272127,org.gs1.EAN-13,₱ 195,,,3,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_C9iJYXmMnaxn40Y0WCzFc1jtzGAl7YYjU60SL0sz-QBOVhn-kILe7Q==
SPBR-INV-0009,Food Packs,Lucky Me bulalo small,,9,40,Grams,₱ 35,,₱ 0,,₱ 0,1,₱ 35,,₱ 0,,₱ 0,,,,,4807770271175,org.gs1.EAN-13,₱ 315,,,9,,,1,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_R3CLpHaMbWijP5A6XW0V_HiVw2LSMp0LbfyIyrifACyJF4XVfhNIQQ==
SPBR-INV-0221,Snacks,M.Y. San Fita Crackers,,14,450,Grams,₱ 15,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,0,EAN,₱ 210,,,,,,,,,,,,
SPBR-INV-0033,Kitchen & Condiments,Maggi Magic Sarap All-in-One Seasoning Granules,,18,8,Grams,₱ 8,,₱ 0,2,₱ 16,,₱ 0,,₱ 0,,₱ 0,,,,,48025522,org.gs1.EAN-8,₱ 144,,,13,,,2,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_uev8k6WAg9JO0QtE0WHOP77r6vlIxhfef2yv3YalMcLbG629fnluYg==
SPBR-INV-0024,Kitchen & Condiments,Maggi Savor calamansi,,5,130,ml,₱ 80,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800361050104,org.gs1.EAN-13,₱ 400,,,5,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_uf55-5N_w4WyIFxExOxWX6rcg-wJJLycwWey4dnVNABtSz6hjYtMXQ==
SPBR-INV-0029,Kitchen & Condiments,Mama sitas oyster sauce,,11,60,Grams,₱ 20,,₱ 0,2,₱ 40,,₱ 0,,₱ 0,,₱ 0,,,,,4806512026387,org.gs1.EAN-13,₱ 220,,,13,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_kQyl4tVGXHF4V9EHgojnohhL-5ZGi117s7GM5-RUPzub20sMycMSyA==
SPBR-INV-0022,Kitchen & Condiments,Mang tomas,,3,325,Grams,₱ 60,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4801668100264,org.gs1.EAN-13,₱ 180,,,3,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_tZl-xofFSPF0zipjWJBgcdXZyfwSgbB5V4SQTQshteE83Raf2_kDFw==
SPBR-INV-0200,Cigarettes,Marlboro black menthol,,150,1,Stick,₱ 10,,₱ 0,1,₱ 10,,₱ 0,,₱ 0,,₱ 0,,,,,95509433,org.gs1.EAN-8,"₱ 1,500",,,192,,,35,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_2CaE03X8JqaqindgQZBtupz_7iGilbh1FODZOLOkTIQI-8sHIHAmYA==
SPBR-INV-0199,Cigarettes,Marlboro ice blast,220,195,1,Stick,₱ 10,13,₱ 130,10,₱ 100,1,₱ 10,,₱ 0,,₱ 0,,,,,48042772,org.gs1.EAN-8,"₱ 1,950",,,52,5,,20,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_T20Q2R5aqLMea7KViXYA-gocl1VPxHsOBBIZKRZJPlMNfYbJefkb2A==
SPBR-INV-0198,Cigarettes,Marlboro red,,520,1,Stick,₱ 10,3,₱ 30,21,₱ 210,,₱ 0,,₱ 0,3,₱ 30,,,,,48044295,org.gs1.EAN-8,"₱ 5,200",,,255,,,24,,6,,,,https://lnk.sortly.co/v2/downloads/photo/v2_stvr5AaPqylQYlc8Bxk2VXyEdYpmz_h2OYbxWQKvee1W26krt8BBOw==
SPBR-INV-0214,Snacks,Maxx,,186,,,₱ 2,,₱ 0,7,₱ 14,,₱ 0,,₱ 0,,₱ 0,,,,,0,org.gs1.EAN-13,₱ 372,,UPDATE: Barcode needs to be scanned and updated,266,,,7,,3,,,,https://lnk.sortly.co/v2/downloads/photo/v2_NLCRd8MrrWRHEA3-5_URrweEGqKPsU5Fnwipzeblovy0r7SdkwaMvA==
SPBR-INV-0188,Alcoholic Beverages,May 100% Sparkling Red Grape Juice,,3,750,ml,₱ 350,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,5410746066386,org.gs1.EAN-13,"₱ 1,050",,,3,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_T-CIs_LBKgRt8CU-HJ0dft5AIldCe3tp0Z5zxrPlxHhcD9SA36nvsA==
SPBR-INV-0082,Toiletries,Men rexona ice cool,,15,3,ml,₱ 15,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800888160027,org.gs1.EAN-13,₱ 225,,,15,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_QYrzIfoN37cjVebukPJenSukbELyBKSBaXi_NmH-cIVQ5asH52XeJw==
SPBR-INV-0080,Toiletries,Men rexona quantum dry,,13,3,ml,₱ 15,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800888151117,org.gs1.EAN-13,₱ 195,,,13,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_fSwr_rq_6rhFCsAktIIRW6sFem5ilMDlCQtUOM694JkKqBMyr21IRQ==
SPBR-INV-0208,Supplies,Mikey products paper plate silver,,87,,,₱ 5,5,₱ 25,1,₱ 5,,₱ 0,,₱ 0,,₱ 0,,,,,4806509570084,org.gs1.EAN-13,₱ 435,,,53,,,6,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_C5JGP8kVduYBWkMHBxi_X18dAXKv16DPOdq-aeL1eX4_1QiCEiLSNw==
